feature,importance
area_bathrooms,0.20937692619011755
area,0.1945272926791302
total_amenities,0.14221521901596546
area_stories,0.11849274880664926
area_per_room,0.05894246453475084
bathrooms,0.05152240948290947
airconditioning,0.04374206402004369
furnishingstatus,0.038275583895384144
total_rooms,0.023500598888873552
basement,0.01790704154907081
parking,0.017022000095167827
bathrooms_ratio,0.014858065339651828
rooms_per_floor,0.013812260043319329
mainroad,0.0129781613183504
stories,0.012200546016127238
bedrooms,0.011014316373230663
prefarea,0.010642186972877879
guestroom,0.008050789458272176
hotwaterheating,0.0009193253201076271
